iter	Passed	Remaining
803	565273	137803
804	565966	137097
805	566645	136388
806	567405	135699
807	568383	135061
808	569207	134386
809	570189	133748
810	571116	133096
811	571911	132412
812	572855	131763
813	573659	131081
814	574356	130375
815	575080	129675
816	575771	128967
817	576450	128256
818	577205	127563
819	578126	126905
820	578945	126225
821	579847	125563
822	580738	124897
823	581573	124219
824	582326	123523
825	583033	122818
826	583835	122132
827	584561	121430
828	585298	120730
829	586081	120040
830	586925	119362
831	587632	118656
832	588390	117960
833	589112	117257
834	589875	116562
835	590622	115863
836	591397	115170
837	592100	114463
838	592809	113757
839	593500	113047
840	594195	112338
841	594887	111629
842	595610	110926
843	596345	110225
844	597172	109540
845	597885	108834
846	598576	108125
847	599266	107415
848	599961	106706
849	600641	105995
850	601322	105284
851	602011	104574
852	602694	103864
853	603385	103154
854	604077	102445
855	604768	101736
856	605463	101028
857	606154	100319
858	606847	99610
859	607539	98901
860	608229	98192
861	608911	97482
862	609598	96772
863	610288	96064
864	610977	95354
865	611668	94646
866	612348	93935
867	613034	93226
868	613720	92517
869	613929	91736
870	614623	91029
871	615312	90321
872	616011	89614
873	616703	88906
874	617391	88198
875	618090	87492
876	618778	86784
877	619460	86075
878	620149	85367
879	620841	84660
880	621531	83952
881	622220	83244
882	622921	82538
883	623611	81831
884	624304	81124
885	625000	80417
886	625692	79710
887	626378	79002
888	627065	78295
889	627758	77588
890	628449	76880
891	629139	76173
892	629830	75466
893	630568	74765
894	631295	74062
895	632038	73361
896	632794	72662
897	633546	71961
898	634301	71261
899	635057	70561
900	635819	69862
901	636576	69162
902	637330	68461
903	638087	67761
904	638837	67060
905	639598	66360
906	640352	65659
907	641123	64959
908	641884	64259
909	642634	63557
910	643386	62855
911	644138	62153
912	644890	61451
913	645648	60750
914	646402	60048
915	647153	59345
916	647904	58643
917	648656	57941
918	649408	57238
919	650155	56535
920	650952	55836
921	651762	55138
922	652537	54437
923	653313	53735
924	654109	53035
925	654876	52333
926	655664	51632
927	656445	50931
928	657206	50227
929	657961	49524
930	658715	48819
931	659469	48115
932	660208	47410
933	660922	46703
934	661632	45995
935	662344	45288
936	663046	44580
937	663741	43872
938	664435	43163
939	665123	42454
940	665335	41716
941	666034	41008
942	666730	40300
943	667414	39592
944	668101	38884
945	668789	38176
946	669481	37468
947	670175	36760
948	670913	36055
949	671604	35347
950	672294	34639
951	672983	33931
952	673667	33223
953	674357	32516
954	675047	31808
955	675745	31101
956	676465	30394
957	677159	29687
958	677857	28980
959	678572	28273
960	679277	27566
961	679981	26859
962	680677	26152
963	681368	25445
964	682061	24737
965	682779	24031
966	683505	23325
967	684258	22620
968	684958	21913
969	685638	21205
970	686324	20497
971	687014	19790
972	687705	19083
973	688390	18375
974	689078	17668
975	689770	16961
976	690458	16254
977	691148	15547
978	691834	14840
979	692522	14133
980	693212	13426
981	693903	12719
982	694594	12012
983	695278	11305
984	695971	10598
985	696661	9891
986	697358	9185
987	698049	8478
